"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,
,,,,,,
,,,,,,
solution_group,solution_priority_action_area,solution_name,stakeholder,annual_us_dollars_cost,annual_us_dollars_gross_financial_benefit,annual_us_dollars_net_financial_benefit
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Consumers,0,6108442902,6108442902
Recycling,Recycle Anything Remaining,Centralized Composting,Manufacturers,0,2221583.621,2221583.621
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Consumers,0,2092781.307,2092781.307
Prevention,Reshape Consumer Environments,K-12 Education Campaigns,Foodservice,14764.02715,14764.02715,0
Prevention,Maximize Product Utilization,Manufacturing Byproduct Utilization (upcycling),Solution Providers,1899353300,2640101086,740747786.5
Recycling,Recycle Anything Remaining,Livestock Feed,Foodservice,2031699.979,1462528.563,-569171.416
Rescue,Strengthen Food Rescue,Donation Transportation,Foodservice,26082559.3,39451048.39,13368489.09
Prevention,Optimize The Harvest,Partial Order Acceptance,Producers,0,37059860.54,37059860.54
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Government,18660182.92,0,-18660182.92
Rescue,Strengthen Food Rescue,Donation Transportation,Consumers,0,2848388862,2848388862
Prevention,Optimize The Harvest,Partial Order Acceptance,Foodservice,35959273.99,37668000.7,1708726.708
Rescue,Strengthen Food Rescue,Donation Education,Government,57327998.33,0,-57327998.33
Recycling,Recycle Anything Remaining,Livestock Feed,Producers,1156882.266,832787.0137,-324095.2523
Recycling,Recycle Anything Remaining,Centralized Composting,Consumers,0,7347354.252,7347354.252
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Retailers,32220620.84,0,-32220620.84
Rescue,Strengthen Food Rescue,Donation Value-added Processing,Consumers,0,484718228.9,484718228.9
Recycling,Recycle Anything Remaining,Livestock Feed,Manufacturers,1882007.677,1354771.872,-527235.8051
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Government,11078345.87,0,-11078345.87
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Manufacturers,257093185.1,0,-257093185.1
Recycling,Recycle Anything Remaining,Home Composting,Consumers,398920.4671,0,-398920.4671
Prevention,Reshape Consumer Environments,Standardized Date Labels,Foodservice,0,195896814.6,195896814.6
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Producers,0,176354.8649,176354.8649
Prevention,Optimize The Harvest,Gleaning,Solution Providers,47109977.91,0,-47109977.91
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Retailers,13035804.94,66183060.8,53147255.86
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Retailers,0,145991656.9,145991656.9
Recycling,Recycle Anything Remaining,Co-digestion At Wastewater Treatment Plants,Government,267592487.4,338591591.8,70999104.4
Prevention,Enhance Product Distribution,Intelligent Routing,Foodservice,27660381.73,92169320.91,64508939.18
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Government,7056.56114,7056.56114,0
Rescue,Strengthen Food Rescue,Donation Education,Producers,111320275.1,0,-111320275.1
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Consumers,0,2892981.875,2892981.875
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Retailers,66395428.5,1312512810,1246117381
Prevention,Maximize Product Utilization,Manufacturing Byproduct Utilization (upcycling),Manufacturers,0,1953289893,1953289893
Rescue,Strengthen Food Rescue,Donation Transportation,Producers,47857314.53,0,-47857314.53
Recycling,Recycle Anything Remaining,Livestock Feed,Retailers,300586.7094,216378.7236,-84207.9858
Prevention,Reshape Consumer Environments,Buffet Signage,Foodservice,61055.89931,194551960.2,194490904.3
Prevention,Optimize The Harvest,Partial Order Acceptance,Retailers,35959273.99,37668000.7,1708726.708
Recycling,Recycle Anything Remaining,Centralized Composting,Foodservice,0,2425052.665,2425052.665
Prevention,Reshape Consumer Environments,Meal Kits,Consumers,727367059.3,7273670593,6546303533
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Government,240626957.9,267961732,27334774.09
Prevention,Refine Product Management,Assisted Distressed Sales,Solution Providers,0,5748612.053,5748612.053
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Foodservice,3901936.134,26319140.66,22417204.52
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Consumers,0,1594454258,1594454258
Prevention,Refine Product Management,Minimized On Hand Inventory,Retailers,54215048.01,675072872.6,620857824.6
Prevention,Reshape Consumer Environments,Small Plates,Solution Providers,0,36429179.07,36429179.07
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Retailers,0,1412549939,1412549939
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Foodservice,1000509.061,5079605.926,4079096.865
Prevention,Refine Product Management,Dynamic Pricing,Solution Providers,0,1043489664,1043489664
Rescue,Strengthen Food Rescue,Donation Education,Retailers,5976447.427,4147469.527,-1828977.9
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Solution Providers,370741916.9,510970069,140228152.1
Prevention,Enhance Product Distribution,First Expired First Out,Retailers,546533679.7,2137415054,1590881375
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Solution Providers,0,257093185.1,257093185.1
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Solution Providers,0,5004755.816,5004755.816
Prevention,Reshape Consumer Environments,Portion Sizes,Consumers,0,8402542062,8402542062
Prevention,Refine Product Management,Increased Delivery Frequency,Retailers,109163155.2,464443096.5,355279941.3
Prevention,Reshape Consumer Environments,Portion Sizes,Foodservice,32209551.29,598926294.1,566716742.8
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Manufacturers,1502092.446,7626155.513,6124063.067
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Solution Providers,28500017.1,0,-28500017.1
Prevention,Refine Product Management,Temperature Monitoring (foodservice),Solution Providers,0,205002.8116,205002.8116
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Retailers,0,360067.8335,360067.8335
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Manufacturers,1647893.833,1179044.365,-468849.4687
Recycling,Recycle Anything Remaining,Home Composting,Government,2733324.714,7999530.329,5266205.615
Rescue,Strengthen Food Rescue,Donation Education,Solution Providers,216607892,0,-216607892
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Foodservice,7543539.251,11409943.66,3866404.405
Prevention,Optimize The Harvest,Buyer Specification Expansion,Producers,6436182.385,1952921882,1946485700
Recycling,Recycle Anything Remaining,Centralized Composting,Solution Providers,536067126.7,601574504.3,65507377.59
Prevention,Reshape Consumer Environments,Standardized Date Labels,Retailers,407715.6156,321752766.3,321345050.7
Prevention,Reshape Consumer Environments,Package Design,Consumers,0,2878609898,2878609898
Prevention,Enhance Product Distribution,Intelligent Routing,Manufacturers,26607502.98,88660941.28,62053438.3
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Foodservice,13964682.64,21122212.9,7157530.263
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Government,70860004.28,0,-70860004.28
Prevention,Optimize The Harvest,Gleaning,Consumers,0,199417572.8,199417572.8
Prevention,Refine Product Management,Markdown Alert Applications,Solution Providers,0,1184175453,1184175453
Prevention,Reshape Consumer Environments,Small Plates,Foodservice,36429179.07,355912950.4,319483771.4
Recycling,Recycle Anything Remaining,Centralized Composting,Retailers,0,1154877.14,1154877.14
Prevention,Refine Product Management,Assisted Distressed Sales,Manufacturers,5748612.053,339441854.6,333693242.5
Prevention,Refine Product Management,Dynamic Pricing,Retailers,1043489664,1084569335,41079671.36
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Retailers,95082524.68,641345797.4,546263272.7
Recycling,Recycle Anything Remaining,Centralized Composting,Producers,0,685993.1181,685993.1181
Prevention,Optimize The Harvest,Buyer Specification Expansion,Retailers,0,675278803.3,675278803.3
Prevention,Reshape Consumer Environments,Trayless,Foodservice,21576365.1,387687724.2,366111359.1
Recycling,Recycle Anything Remaining,Community Composting,Consumers,1850515.272,0,-1850515.272
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Consumers,0,636670402.8,636670402.8
Prevention,Refine Product Management,Temperature Monitoring (foodservice),Foodservice,205002.8116,15523723.11,15318720.29
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Producers,573580931.8,2825099878,2251518946
Prevention,Reshape Consumer Environments,Standardized Date Labels,Manufacturers,7685837.783,91600441.38,83914603.6
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Solution Providers,0,222049769.1,222049769.1
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Producers,23141471.43,0,-23141471.43
Rescue,Strengthen Food Rescue,Donation Education,Consumers,0,4894682788,4894682788
Prevention,Optimize The Harvest,Buyer Specification Expansion,Manufacturers,0,72914527.26,72914527.26
Prevention,Reshape Consumer Environments,Package Design,Manufacturers,491714504.2,0,-491714504.2
Prevention,Enhance Product Distribution,Decreased Transit Time,Retailers,524815970.1,2760996763,2236180793
Prevention,Refine Product Management,Waste Tracking (foodservice),Foodservice,1094300662,3816026540,2721725878
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Retailers,5747562.242,3988630.293,-1758931.949
Prevention,Reshape Consumer Environments,Buffet Signage,Solution Providers,0,61055.89931,61055.89931
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Producers,78169833.43,77508364.54,-661468.8875
Prevention,Enhance Product Distribution,Decreased Transit Time,Producers,32821072.93,172667908.9,139846836
Rescue,Strengthen Food Rescue,Donation Value-added Processing,Solution Providers,55330876.54,0,-55330876.54
Prevention,Reshape Consumer Environments,K-12 Education Campaigns,Government,2293296.752,27810141.51,25516844.75
Prevention,Refine Product Management,Markdown Alert Applications,Retailers,324144755.4,1148367124,824222368.5
Prevention,Refine Product Management,Enhanced Demand Planning,Solution Providers,0,274503936.8,274503936.8
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Solution Providers,0,70860004.28,70860004.28
Prevention,Enhance Product Distribution,Decreased Transit Time,Foodservice,20380598.71,107219997.6,86839398.93
Prevention,Optimize The Harvest,Gleaning,Producers,78489.64411,0,-78489.64411
Recycling,Recycle Anything Remaining,Community Composting,Solution Providers,6355503.627,1850515.272,-4504988.355
Prevention,Refine Product Management,Increased Delivery Frequency,Foodservice,5747962.169,24455150.13,18707187.96
Prevention,Reshape Consumer Environments,Portion Sizes,Solution Providers,0,32209551.29,32209551.29
Rescue,Strengthen Food Rescue,Donation Value-added Processing,Producers,0,190782.3907,190782.3907
Rescue,Strengthen Food Rescue,Donation Transportation,Solution Providers,317996647.7,0,-317996647.7
Prevention,Refine Product Management,Waste Tracking (foodservice),Solution Providers,0,1094300662,1094300662
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Consumers,0,1176153423,1176153423
Rescue,Strengthen Food Rescue,Donation Transportation,Retailers,10842504.54,7524362.545,-3318141.995
Recycling,Recycle Anything Remaining,Community Composting,Government,0,4874257.225,4874257.225
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Manufacturers,0,573421.7045,573421.7045
Rescue,Strengthen Food Rescue,Donation Education,Manufacturers,7927067.018,5671702.574,-2255364.444
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Foodservice,0,1412549939,1412549939
Prevention,Maximize Product Utilization,Manufacturing Line Optimization,Manufacturers,273450533,601685303.5,328234770.5
Rescue,Strengthen Food Rescue,Donation Education,Foodservice,26322733.27,39814322.36,13491589.09
