"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
solution_group,solution_priority_action_area,solution_name,annual_tons_diversion_potential,annual_mtco2e_reduction_potential,annual_gallons_water_savings_potential,annual_meal_equivalents_diverted,jobs_created,annual_us_dollars_cost,annual_us_dollars_gross_financial_benefit,annual_us_dollars_net_financial_benefit,relevent_for_consumers,relevent_for_foodservice,relevent_for_government,relevent_for_manufacturers,relevent_for_producers,relevent_for_retailers,relevent_for_solution_providers
Prevention,Enhance Product Distribution,Decreased Transit Time,1012056.583,2239302.615,1.78E+11,1686760971,0,593049466.5,3119965380,2526915913,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,617516.8676,1321674.063,94681650833,1029194779,0,557122813.7,2178827643,1621704829,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Intelligent Routing,1063892.473,2284504.639,1.64E+11,1773154121,1613.392935,806393929.1,3493442197,2687048268,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,22312.03628,43955.43752,3263352394,37186727.14,0,15538406.44,78888822.24,63350415.79,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),550550.7261,1171617.659,87554583174,917584543.5,834.9101761,221850383.3,1683755440,1461905057,No,No,No,Yes,Yes,Yes,Yes
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,451816.0394,2427158.05,1.94E+11,753026732.4,685.1790238,257093185.1,1997539100,1740445915,Yes,No,No,Yes,No,Yes,Yes
Prevention,Maximize Product Utilization,Manufacturing Byproduct Utilization (upcycling),1869428.277,4851988.87,4.46E+11,3115713795,2834.987982,1899353300,4593390979,2694037679,No,No,No,Yes,No,No,Yes
Prevention,Maximize Product Utilization,Manufacturing Line Optimization,967124.9121,2510114.652,2.31E+11,1611874853,0,273450533,601685303.5,328234770.5,No,No,No,Yes,No,No,No
Prevention,Optimize The Harvest,Buyer Specification Expansion,667648.4468,148835.5613,24728706060,1112747411,0,6436182.385,2701115212,2694679030,No,No,No,Yes,Yes,Yes,No
Prevention,Optimize The Harvest,Gleaning,78489.64411,-25666.03281,2142766670,130816073.5,291.9814761,47188467.56,199417572.8,152229105.3,Yes,No,No,No,Yes,No,Yes
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,2892981.875,272830.8727,77846574631,4821636459,4387.207014,573580931.8,5653092738,5079511806,Yes,Yes,No,No,Yes,Yes,No
Prevention,Optimize The Harvest,Partial Order Acceptance,38597.73326,70019.86975,7044725407,64329555.43,0,71918547.98,150672002.8,78753454.83,No,Yes,No,Yes,Yes,Yes,No
