"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,,
,,,,,,,
,,,,,,,
solution_group,solution_priority_action_area,solution_name,stakeholder,state,annual_us_dollars_cost,annual_us_dollars_gross_financial_benefit,annual_us_dollars_net_financial_benefit
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Manufacturers,Connecticut,5933.847521,4245.582658,-1688.264863
Prevention,Refine Product Management,Dynamic Pricing,Retailers,Mississippi,8312508.031,8639751.424,327243.3929
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Retailers,Indiana,0,8248.526746,8248.526746
Prevention,Refine Product Management,Temperature Monitoring (foodservice),Solution Providers,Louisiana,0,2791.254032,2791.254032
Prevention,Reshape Consumer Environments,Standardized Date Labels,Retailers,West Virginia,2471.914937,1785245.855,1782773.94
Prevention,Reshape Consumer Environments,Small Plates,Solution Providers,Hawaii,0,489008.6558,489008.6558
Prevention,Refine Product Management,Markdown Alert Applications,Retailers,Oregon,4339294.929,15373081.18,11033786.25
Recycling,Recycle Anything Remaining,Centralized Composting,Manufacturers,New Mexico,0,10862.042,10862.042
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Retailers,Arizona,2715068.844,18313543.93,15598475.09
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Retailers,Montana,0,370355.4826,370355.4826
Prevention,Reshape Consumer Environments,Meal Kits,Consumers,Kentucky,11999843.46,119998434.6,107998591.2
Prevention,Reshape Consumer Environments,Portion Sizes,Consumers,Texas,0,858383748.2,858383748.2
Recycling,Recycle Anything Remaining,Community Composting,Consumers,New York,83719.14457,0,-83719.14457
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Foodservice,Texas,0,62524.82792,62524.82792
Recycling,Recycle Anything Remaining,Home Composting,Government,Georgia,86747.1441,253879.975,167132.8309
Rescue,Strengthen Food Rescue,Donation Transportation,Retailers,Arkansas,88608.66997,61491.67428,-27116.99569
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Consumers,Michigan,0,81999.91577,81999.91577
Prevention,Reshape Consumer Environments,Buffet Signage,Solution Providers,Ohio,0,1737.970013,1737.970013
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Consumers,Delaware,0,1167939.582,1167939.582
Prevention,Refine Product Management,Enhanced Demand Planning,Solution Providers,Mississippi,0,2191085.122,2191085.122
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Foodservice,North Carolina,0,55964665.91,55964665.91
Prevention,Reshape Consumer Environments,Meal Kits,Retailers,Rhode Island,0,4639.476843,4639.476843
Recycling,Recycle Anything Remaining,Centralized Composting,Foodservice,Utah,0,22087.02639,22087.02639
Recycling,Recycle Anything Remaining,Home Composting,Government,New Mexico,16131.52321,47211.59126,31080.06805
Prevention,Refine Product Management,Dynamic Pricing,Solution Providers,Indiana,0,24108055.97,24108055.97
Prevention,Optimize The Harvest,Partial Order Acceptance,Retailers,Kansas,292303.5876,306193.3827,13889.79508
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Government,Georgia,7551247.84,8409055.525,857807.6852
Prevention,Refine Product Management,Minimized On Hand Inventory,Retailers,Minnesota,953921.8907,11878008.32,10924086.43
Rescue,Strengthen Food Rescue,Donation Transportation,Government,Arizona,790605.533,0,-790605.533
