"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
solution_group,solution_priority_action_area,solution_name,state,annual_tons_diversion_potential,annual_mtco2e_reduction_potential,annual_gallons_water_savings_potential,annual_meal_equivalents_diverted,jobs_created,annual_us_dollars_cost,annual_us_dollars_gross_financial_benefit,annual_us_dollars_net_financial_benefit,relevent_for_consumers,relevent_for_foodservice,relevent_for_government,relevent_for_manufacturers,relevent_for_producers,relevent_for_retailers,relevent_for_solution_providers
Prevention,Enhance Product Distribution,Decreased Transit Time,Oklahoma,6118.169659,17839.76116,1488911196,10196949.43,0,3585152.564,18861077.39,15275924.82,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,North Carolina,31730.8574,76168.44704,6335571392,52884762.34,0,18593790.49,97819804.03,79226013.55,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Colorado,23320.23521,49777.61865,3884497465,38867058.68,0,13665296.28,71891559.98,58226263.7,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Mississippi,7955.173097,22306.23801,2006801878,13258621.83,0,4661608.098,24524186.77,19862578.67,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Florida,70749.50203,159995.7546,12616725520,117915836.7,0,41458111.3,218106379.4,176648268.1,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Delaware,2833.623242,7856.844248,701337286.1,4722705.403,0,1660459.287,8735486.303,7075027.015,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Vermont,1698.975153,4078.729219,325018515.3,2831625.255,0,995573.0989,5237596.149,4242023.05,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Louisiana,12671.3637,31930.26117,2633065907,21118939.49,0,7425222.671,39063246.79,31638024.12,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Nevada,10771.3578,23671.77342,1771200601,17952263,0,6311848.674,33205913.6,26894064.93,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,New York,45230.59308,97558.14533,7421031856,75384321.8,0,26504426.29,139436753.8,112932327.5,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,West Virginia,3560.293143,9257.27264,719823930.5,5933821.905,0,2086276.583,10975662.37,8889385.787,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,New Jersey,24833.51429,53714.92905,4059612967,41389190.48,0,14552054.36,76556692.76,62004638.4,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,South Carolina,14695.11841,36238.05318,2974143833,24491864.01,0,8611111.554,45302072.5,36690960.95,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,New Mexico,5292.189814,11552.35208,878231339.9,8820316.356,0,3101141.181,16314748.89,13213607.71,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Hawaii,2650.388997,5907.709294,456242121.3,4417314.994,0,1553086.861,8170612.252,6617525.392,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Arkansas,6427.398781,20209.68699,1842019138,10712331.3,0,3766356.036,19814368.12,16048012.08,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Missouri,17121.12902,44455.77517,3725323807,28535215.03,0,10032716.16,52780971.66,42748255.5,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Connecticut,11654.00432,25536.92334,2005694807,19423340.53,0,6829065.848,35926933.97,29097868.12,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,South Dakota,2683.412346,7740.589401,698302739,4472353.91,0,1572438.031,8272416.547,6699978.515,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Indiana,21275.98457,51339.04257,4106877309,35459974.29,0,12467397.1,65589549.47,53122152.37,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Iowa,8558.758296,26028.99169,2404343443,14264597.16,0,5015299.667,26384917.64,21369617.97,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Massachusetts,24406.59833,51581.16262,3901058909,40677663.89,0,14301888.23,75240597.38,60938709.15,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Rhode Island,2334.690071,5294.145515,402414358.6,3891150.118,0,1368092.185,7197376.432,5829284.247,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Ohio,32858.41812,77958.30385,6080561821,54764030.19,0,19254523.58,101295845.2,82041321.66,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Michigan,31486.76005,69492.37053,5483735984,52477933.41,0,18450753.22,97067301.35,78616548.13,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Minnesota,18330.02053,40897.03356,3319487607,30550034.21,0,10741107.84,56507739.23,45766631.39,No,Yes,No,Yes,Yes,Yes,No
